benchmark,model,run,min_epoch,max_epoch,experiment
cifar10,ResNet18_32x32,2025_03_20-04_14_05,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_20-04_14_10,1,500,exponential_lr
cifar10,ResNet18_32x32,2025_03_21-22_38_31,1,500,const_lr_2e-2
cifar10,ResNet18_32x32,2025_03_21-22_38_35,1,500,const_lr_2e-2
cifar10,ResNet18_32x32,2025_03_21-22_38_40,1,500,const_lr_2e-2
cifar10,ResNet18_32x32,2025_03_21-22_38_45,1,500,const_lr_2e-2
cifar10,ResNet18_32x32,2025_03_24-00_19_34,1,500,test_lr_1e-3
cifar10,ResNet18_32x32,2025_03_24-00_19_39,1,500,test_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-00_19_44,1,500,test_lr_1e-5
cifar10,ResNet18_32x32,2025_03_24-00_19_49,1,500,test_lr_1e-6
cifar10,ResNet18_32x32,2025_03_24-13_36_17,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-13_36_22,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-13_36_28,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-13_36_33,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-16_37_34,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-16_37_36,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-16_37_41,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-16_37_46,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-19_28_44,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-19_28_48,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-19_28_53,1,500,const_lr_1e-4
cifar10,ResNet18_32x32,2025_03_24-19_28_58,1,500,const_lr_1e-4
cifar100,NCResNet18_32x32,2025_03_05-02_06_38,1,1000,new
cifar100,NCResNet18_32x32,2025_03_05-02_06_44,1,1000,new
cifar100,NCResNet18_32x32,2025_03_05-02_06_47,1,1000,new
cifar100,NCResNet18_32x32,2025_03_05-02_06_51,1,1000,new
cifar100,NCResNet18_32x32,2025_03_05-02_06_54,1,1000,new
imagenet,ResNet50,2024_11_12-21_40_57,1,150,orig
imagenet200,NCResNet18_32x32,2025_03_06-07_43_52,1,1000,new
imagenet200,NCResNet18_32x32,2025_03_06-07_43_57,1,1000,new
imagenet200,NCResNet18_32x32,2025_03_06-07_44_05,1,1000,new
imagenet200,NCResNet18_32x32,2025_03_06-07_44_14,1,1000,new
imagenet200,NCResNet18_32x32,2025_03_06-07_44_21,1,1000,new
